designator,type,upper,lower,name,id,2019,2024
KZMA,FIR,,0.0,Miami FIR/UIR,43a85bba,0.2107184799082277,0.2909579359011271
KZME,FIR,180.0,0.0,Memphis FIR,e4730d04,0.3637895369931108,0.2906139367754921
KZME,UIR,,180.0,Memphis UIR,6f30187b,0.3444679162772336,0.2756229608110455
KZMP,FIR,180.0,0.0,Minneapolis FIR,ec27ce6a,1.4703000220771505,1.1163021957940231
KZMP,UIR,,180.0,Minneapolis UIR,8d5c4401,1.4724339580865664,1.1180872340016683
KZNY,FIR,180.0,0.0,New York FIR,455ff1a4,0.7072544919713698,0.4265519286918194
KZNY,UIR,,180.0,New York UIR,8fd2dd56,0.6740687026978629,0.4051957509794001
KZOA,FIR,,0.0,Oakland FIR,255a57cd,0.1401108635318156,0.1661418135360524
KZOB,FIR,180.0,0.0,Cleveland FIR,786b3aad,0.5189093964467963,0.391848948165187
KZOB,UIR,,180.0,Cleveland UIR,02187834,0.5120205721379084,0.3867094199598279
KZSE,FIR,180.0,0.0,Seattle FIR,4151c861,0.4429852391735951,0.4200781327406702
KZSE,UIR,,180.0,Seattle UIR,a7bea596,0.4429852391735951,0.4200781327406702
KZTL,FIR,180.0,0.0,Atlanta FIR,5732c8ab,0.3048542117820255,0.2088540512040836
KZTL,UIR,,180.0,Atlanta UIR,005923b1,0.339730484552701,0.2326436416278625
KZWY,FIR,,0.0,New York Oceanic FIR,a3c17a55,3.284031024011328,2.465488114144115
LAAA,FIR,,0.0,Tirana FIR,c51f064b,0.0306735776440377,0.0568854835259913
LBSR,FIR,,0.0,Sofia FIR,124e83c8,0.3425742359993158,0.4670537624396755
LCCC,FIR,,0.0,Nicosia FIR,b34b8479,0.021856390647934,0.0289700128590349
LDZO,FIR,,0.0,Zagreb FIR,624b6cd0,0.2588660308930428,0.3588678423532137
LECB,FIR,195.0,0.0,Barcelona FIR,564a8317,0.2091047587133172,0.2998353330374712
LECB,UIR,,195.0,Barcelona UIR,41d20d2f,0.2091047587133172,0.2998353330374712
LECM,FIR,195.0,0.0,Madrid FIR,4dedc156,0.7902488358288499,0.8511650302531607
LECM,UIR,,195.0,Madrid UIR,eb9786d3,0.7902488358288499,0.8511650302531607
LFBB,FIR,195.0,0.0,Bordeaux FIR,58f8f467,0.5926058900287197,0.8438667539341128
LFEE,FIR,195.0,0.0,Reims FIR,24742f54,0.2526320345925273,0.3624598707809414
LFFF,FIR,195.0,0.0,Paris FIR,6a3c4199,0.7234241609935343,1.0708182752894624
LFFF,UIR,,195.0,France UIR,f5f1158c,2.5942591434029554,3.7684358891810943
LFMM,FIR,195.0,0.0,Marseille FIR,c7dfeca5,0.4774670167102548,0.7665379885410244
LFRR,FIR,195.0,0.0,Brest FIR,3ea3cf55,0.5481300410779187,0.7247530006355534
LGGG,FIR,245.0,0.0,Athinai FIR,99e15f6c,0.1994388036656938,0.249328680502584
LGGG,UIR,,245.0,Athinai UIR,f81bcac9,0.1994388036656938,0.249328680502584
LHCC,FIR,,0.0,Budapest FIR,2f6fff43,0.472895416778762,0.6273337180474013
LIBB,FIR,195.0,0.0,Brindisi FIR,17e59633,0.0921092556862119,0.1047869038852286
LIBB,UIR,,195.0,Brindisi UIR,9073f3b2,0.0921092556862119,0.1047869038852286
LIMM,FIR,195.0,0.0,Milano FIR,24970af0,0.4688767665941087,0.6288490806209602
LIMM,UIR,,195.0,Milano UIR,507bbd98,0.4688767665941087,0.6288490806209602
LIRR,FIR,195.0,0.0,Roma FIR,9a200f82,0.2099402751616457,0.2717040015398723
LIRR,UIR,,195.0,Roma UIR,4dfd5e4a,0.2099402751616457,0.2717040015398723
LJLA,FIR,,0.0,Ljubljana FIR,8b941b94,0.0632216768195483,0.1050465383901359
LKAA,FIR,,0.0,Praha FIR,f4afde5e,0.5466458560885485,0.6948067062516919
LLLL,FIR,,0.0,Tel-Aviv FIR,566d8b64,0.0018438362659962,0.0046757222274823
